id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,rating,weight,network,network_name,network_country,network_country_code,webChannel_name,externals,image,summary,Drama,Science-Fiction,Thriller,Action,Crime,Horror,Romance,Adventure,Espionage,Music,Mystery,Supernatural,Fantasy,Family,Anime,Comedy,History,Medical,Legal,Western,War,Sports,Food,Travel,Adult,Children,DIY,Nature
43862,https://www.tvmaze.com/shows/43862/petra-delicado,Petra Delicado,Scripted,Spanish,[],Ended,50.0,50.0,1999-09-09,1999-12-02,,,8,"{'id': 96, 'name': 'Telecinco', 'country': {'name': 'Spain', 'code': 'ES', 'timezone': 'Europe/Madrid'}, 'officialSite': None}",Telecinco,Spain,ES,,"{'tvrage': None, 'thetvdb': 369696, 'imdb': 'tt0211842'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/211/528641.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/211/528641.jpg'}","<p>Based on the novels of Alicia Giménez Bartlett, it is a police series in which the inspector Petra Delicado, a divorced and independent woman manages to solve complicated criminal plots episode by episode, with the collaboration of sub-inspector Fermín Garzón.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67569,https://www.tvmaze.com/shows/67569/operation-healing-heroes,Operation Healing Heroes,Documentary,English,[],Running,,,2023-01-29,,,,3,"{'id': 66, 'name': 'Discovery Channel', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.discovery.com/'}",Discovery Channel,United States,US,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",,<p>Veterans tell their stories and how fishing and the outdoors have helped them cope with their struggles.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47164,https://www.tvmaze.com/shows/47164/reunions,Réunions,Scripted,French,['Comedy'],Ended,52.0,52.0,2020-04-15,2020-04-29,https://www.france.tv/france-2/reunions/,,35,"{'id': 106, 'name': 'France 2', 'country': {'name': 'France', 'code': 'FR', 'timezone': 'Europe/Paris'}, 'officialSite': None}",France 2,France,FR,,"{'tvrage': None, 'thetvdb': 378920, 'imdb': 'tt11344248'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/251/627949.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/251/627949.jpg'}",<p><b>Réunions</b> centers on two half-brothers of different races and economic backgrounds who meet each other for the first time after the death of their father and inherit a failing hotel on the paradise island of Réunion. The two long-lost siblings and their families must make huge sacrifices and band together to save the resort.</p>,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
62308,https://www.tvmaze.com/shows/62308/marion,Marion,Scripted,French,"['Drama', 'Crime']",Running,50.0,50.0,2022-06-01,,https://www.13emerue.fr,,33,"{'id': 1718, 'name': '13ème RUE', 'country': {'name': 'France', 'code': 'FR', 'timezone': 'Europe/Paris'}, 'officialSite': None}",13ème RUE,France,FR,,"{'tvrage': None, 'thetvdb': 420486, 'imdb': 'tt16413992'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/410/1026342.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/410/1026342.jpg'}","<p>Freshly arrived from Lyon with her adopted daughter, Edwige Marion joined the Gare du Nord team as divisional commissioner of the railway brigade. In this dark and violent universe, she investigates the darkest criminal cases with her own style, while trying to reconcile her responsibilities as a mother and her role as a cop.</p>",1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
58218,https://www.tvmaze.com/shows/58218/superhuman,Superhuman,Scripted,French,[],Ended,11.0,11.0,2014-10-28,2015-12-01,,,9,,,,,STUDIO+,"{'tvrage': None, 'thetvdb': 328649, 'imdb': 'tt4159420'}",,"<p>In a city with dreams of eliminating crime, a select few individuals discover unique abilities, which set them directly onto the path of horrible evil hiding in plain sight. The trials they face with their newfound abilities will test their beliefs between what is right, and what is necessary.</p><p><br /> </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14484,https://www.tvmaze.com/shows/14484/the-raft-overleven-op-zee,The Raft: Overleven op Zee,Reality,Dutch,[],Ended,60.0,60.0,2016-03-17,2016-04-21,http://www.rtlxl.nl/#!/gemist/the-raft-overleven-op-zee-347200,,21,"{'id': 373, 'name': 'RTL5', 'country': {'name': 'Netherlands', 'code': 'NL', 'timezone': 'Europe/Amsterdam'}, 'officialSite': None}",RTL5,Netherlands,NL,,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",,<p>Candidates with no survival experience will face the ultimate challenge to survive several days on sea in just a raft.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31971,https://www.tvmaze.com/shows/31971/hanna-snackar-sex-med-en-kandis,Hanna snackar sex med en kändis,Talk Show,Swedish,[],Ended,15.0,15.0,2017-07-13,2018-08-16,https://www.svtplay.se/hanna-snackar-sex-med-en-kandis,,12,,,,,SVT Play,"{'tvrage': None, 'thetvdb': None, 'imdb': None}",,"<p>Host Hanna Persson jumps into bed with her interview subjects - yes literally! Among the blankets and pillows, some of Sweden's most popular social media personalities are questioned about sex, relationships and everything in between.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
59846,https://www.tvmaze.com/shows/59846/twisted-killers,Twisted Killers,Documentary,English,['Crime'],To Be Determined,60.0,60.0,2022-01-06,,https://www.oxygen.com/twisted-killers,,54,"{'id': 79, 'name': 'Oxygen', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': None}",Oxygen,United States,US,,"{'tvrage': None, 'thetvdb': 414363, 'imdb': None}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/388/971430.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/388/971430.jpg'}","<p><b>Twisted Killers</b> tells the shocking stories of some of America's darkest, most unusual murderers. Along the way, a trio of criminal experts, including former NYC DA Beth Karas, retired LAPD Homicide Detective Tracey Benjamin, and forensic psychologist Kate Termini, provide insight and expertise on how these twisted killers were brought to justice. </p><p>Murderers featured in the show include a man who pretended to be a lost driver before repeatedly stabbing people and watching them walk away, a killer who strangled his victims and posed them in odd ways, a sniper who seemingly picked victims at random, a predator who drained a woman of blood, and more.</p>",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
43676,https://www.tvmaze.com/shows/43676/2-freres,2 frères,Scripted,French,['Drama'],Ended,60.0,60.0,1999-10-14,2001-03-29,,,16,"{'id': 539, 'name': 'TVA', 'country': {'name': 'Canada', 'code': 'CA', 'timezone': 'America/Halifax'}, 'officialSite': None}",TVA,Canada,CA,,"{'tvrage': None, 'thetvdb': 259382, 'imdb': 'tt0220955'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/209/524769.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/209/524769.jpg'}","<p><b>2 frères</b> tells the story of 19-year-old Gabriel, a university student recently landed in Montreal, and Zacharie, 15, whose behavior is rebellious and confusing. Gradually, Gabriel discovers that his brother has become a taxer at school and gradually gets involved in less legal and more violent activities.</p>",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53629,https://www.tvmaze.com/shows/53629/ncis-hawaii,NCIS: Hawaiʻi,Scripted,English,"['Drama', 'Action', 'Crime']",Running,60.0,60.0,2021-09-20,,https://www.cbs.com/shows/ncis-hawaii/,7.5,99,"{'id': 2, 'name': 'CBS', 'country': {'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}, 'officialSite': 'https://www.cbs.com/'}",CBS,United States,US,,"{'tvrage': None, 'thetvdb': 401630, 'imdb': 'tt14218674'}","{'medium': 'https://static.tvmaze.com/uploads/images/medium_portrait/421/1053460.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/421/1053460.jpg'}","<p><b>NCIS: Hawaiʻi</b> is set in the Aloha State. It follows Jane Tennant, the first female Special Agent in Charge of NCIS Pearl Harbor, and her team as they balance duty to family and country, investigating high-stakes crimes involving military personnel, national security and the mysteries of the island itself.</p>",1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
